No 	 index 	 actual outputs 			 predictions 
 207 280       139.00000      141.40613 
 208 313       142.00000      142.48904 
 209 273       143.00000      141.48593 
 210 287       147.00000      149.87166 
 211 261       151.00000      153.52718 
 212 240       161.00000      163.92182 
 213 353       165.00000      167.50110 
 214 268       172.00000      178.91325 
 215 307       173.00000      178.33141 
 216 375       181.00000      183.41835 
 217 269       185.00000      189.77817 
 218 294       191.00000      193.66566 
 219 288       198.00000      200.64459 
 220 328       201.00000      199.95907 
 221 408       203.00000      202.61705 
 222 248       205.00000      208.81465 
 223 387       207.00000      210.15307 
 224 254       214.00000      213.44512 
 225 241       226.00000      227.18428 
 226 322         1.00000        9.63070 
 227 43         1.00000        9.77172 
 228 202         2.00000        0.07567 
 229 303         2.00000        2.54163 
 230 168         2.00000        5.54133 
 231 146         3.00000       36.32642 
 232 134         3.00000       10.97656 
 233 169         4.00000       22.79868 
 234 299         5.00000        1.04231 
 235 343         5.00000       23.77524 
 236 18         5.00000        5.41195 
 237 316         6.00000        1.84543 
 238 111         6.00000        7.77953 
 239 173         6.00000       15.75573 
 240 50         7.00000       26.77225 
 241 415         8.00000       14.87902 
 242 155         8.00000       12.14355 
 243 132         9.00000       28.60600 
 244 236        10.00000       29.61689 
 245 81        10.00000        7.47026 
 246 143        11.00000       18.20689 
 247 372        12.00000       15.70200 
 248 15        12.00000       21.08416 
 249 90        12.00000       15.37270 
 250 340        13.00000       21.76680 
 251 77        13.00000       10.25079 
 252 135        13.00000       63.29405 
 253 20        14.00000       17.92243 
 254 181        14.00000       12.44084 
 255 197        15.00000       31.75253 
 256 2        15.00000        9.54727 
 257 177        15.00000       10.42793 
 258 156        16.00000       14.72219 
 259 314        17.00000       33.78858 
 260 74        17.00000       14.71929 
 261 137        18.00000       68.02884 
 262 167        19.00000       28.06370 
 263 216        20.00000       34.29246 
 264 278        21.00000       15.99750 
 265 413        21.00000       59.63602 
 266 264        22.00000       41.01690 
 267 41        22.00000        9.81074 
 268 350        23.00000       26.33827 
 269 88        23.00000       47.69912 
 270 9        24.00000       25.99613 
 271 284        25.00000       12.74179 
 272 93        26.00000       17.93568 
 273 136        28.00000       11.81349 
 274 52        29.00000       48.88928 
 275 53        30.00000        8.42067 
 276 224        32.00000       25.49415 
 277 220        34.00000      267.66593 
 278 394        35.00000       79.74849 
 279 333        36.00000      267.34196 
 280 238        37.00000       32.32958 
 281 231        37.00000       21.62238 
 282 193        39.00000       31.78044 
 283 113        39.00000       48.90103 
 284 293        41.00000       56.41050 
 285 379        42.00000       64.06688 
 286 289        42.00000       94.57105 
 287 363        43.00000       29.92321 
 288 291        44.00000       82.19546 
 289 221        45.00000       47.62704 
 290 334        46.00000       64.15781 
 291 207        48.00000      155.75907 
 292 163        49.00000      116.36949 
 293 23        50.00000      114.29116 
 294 384        51.00000       43.70109 
 295 176        53.00000      104.08865 
 296 253        56.00000       37.99212 
 297 376        57.00000       39.04044 
 298 271        61.00000       49.99351 
 299 399        64.00000       54.41475 
 300 60        66.00000       35.69517 
 301 312        69.00000       54.15600 
 302 199        72.00000       26.96817 
 303 159        73.00000       45.88602 
 304 267        76.00000       56.49592 
 305 151        78.00000       56.67768 
 306 301        83.00000      156.44542 
 307 414        86.00000      155.07864 
 308 131        93.00000       78.26730 
 309 214        97.00000      142.33509 
 310 327       100.00000       63.45712 
 311 164       116.00000      118.78857 
 312 200       141.00000      179.51297 
 313 400       143.00000       74.11266 
 314 232       152.00000       40.57075 
 315 381       170.00000      159.18897 
 316 262       180.00000      158.79217 
 317 215       190.00000      148.41119 
 318 367       201.00000      119.18236 
 319 401       204.00000      205.06089 
 320 274       212.00000      230.25513 
 321 347       235.00000      244.96158 
